model	T5
0.06945	0.000277
0.004586	0.000392
0.009631	0.000507
0.833674	0.00125
0.01323	0.000221
0.014959	0.000262
0.003175	0.000187
1.0	0.003722
1.0	5.9e-05
0.048291	0.001259
0.401496	0.001631
0.006884	0.000573
0.023073	0.001605
0.003866	0.000323
0.235644	0.000693
0.057402	0.000134
0.173973	0.000216
0.006852	0.000379
0.553918	0.000946
0.064792	0.002195
0.12061	0.000562
0.003439	0.00132
0.023953	0.0006
0.002299	0.000955
0.00555	0.000346
0.004275	0.004721
0.005722	0.000491
0.003633	0.000171
0.068961	0.000777
0.004518	0.00131
0.004528	0.02777
0.107904	0.000908
0.006108	0.000136
0.010556	0.002326
0.010266	0.000212
0.020452	0.001916
0.004226	0.000761
0.0842	0.001026
1.0	0.000464
0.008021	0.001174
0.002621	0.000151
0.00336	0.000557
0.001867	0.000148
0.001776	0.000625
0.010761	0.000932
0.021291	0.000463
1.0	0.000191
0.090133	0.001335
0.822457	0.004626
0.190292	0.00174
0.022196	6.5e-05
1.0	0.000242
1.0	0.000856
0.002236	0.002236
0.001377	0.000891
0.003607	0.000414
0.00353	0.001317
0.465962	0.000795
0.02885	0.000472
1.0	0.000516
0.013532	0.001053
0.119642	0.000595
0.01125	0.000212
0.021427	0.000899
0.494184	0.000593
0.00456	0.001653
0.001374	0.00011
0.007231	0.000787
0.000887	0.000503
0.003961	0.002233
0.056041	0.000564
1.0	0.000254
0.005038	0.000793
0.022906	0.000189
1.0	0.000441
0.007224	0.00486
1.0	0.000629
1.0	0.000175
0.003036	6.6e-05
0.014384	0.000431
1.0	0.001132
0.012129	0.000185
0.003069	0.000634
0.548284	0.000852
0.014979	0.000286
0.096523	0.001177
0.004496	0.000932
0.025806	0.000711
0.020185	0.000596
1.0	0.000223
0.060542	0.000446
0.00571	0.000216
0.012642	0.001055
0.005852	0.00154
0.006556	0.000832
0.004292	0.00055
0.018313	0.000471
0.004666	0.000797
0.009503	0.003222
0.006022	0.000751
0.001543	0.004241
0.008665	0.000607
0.011449	0.000789
0.005811	0.000359
0.00249	0.000418
0.041532	0.001157
0.008486	0.002469
0.116491	0.002323
0.596166	0.003121
0.419095	0.000379
0.142121	0.002312
0.004407	0.001506
1.0	0.000934
1.0	0.014815
1.0	0.003075
1.0	0.000254
0.012989	0.00087
0.00683	0.00175
1.0	0.000934
1.0	0.000291
0.018751	0.002424
1.0	0.000297
0.002017	0.002449
0.399832	0.000505
0.009381	0.000268
0.482828	0.00072
0.018087	0.000889
0.536161	0.000622
0.005229	0.00012
1.0	0.000776
0.194206	0.00031
1.0	0.000521
0.028804	0.001087
0.021758	0.001252
0.068351	0.000472
0.004852	0.000684
0.103123	0.003016
0.001776	0.000246
0.016283	0.000575
0.00649	0.000866
0.20782	0.000321
0.055483	0.009591
0.004761	0.000383
0.005921	0.000405
0.012582	0.000353
0.139459	0.000278
0.043161	0.000348
0.164898	0.000427
0.00102	0.000179
0.209518	0.000315
0.02774	0.000754
1.0	0.001982
0.053551	0.000325
0.007666	0.000377
0.002747	0.000338
0.011442	0.00139
0.184688	0.000587
0.002999	0.000638
0.003299	0.00449
0.004464	0.000419
0.233976	0.000363
1.0	0.000127
0.002475	0.000982
1.0	0.002539
0.004088	0.000545
0.002322	0.000205
1.0	0.000462
0.002348	0.00023
0.001475	9.2e-05
0.044327	0.001335
0.00436	0.001313
1.0	0.000457
0.006526	0.000124
0.003552	0.000116
1.0	0.000993
0.008211	0.000259
0.073783	0.000252
0.195753	0.001024
0.001427	0.000406
0.018856	0.000279
0.002468	0.014667
0.009396	0.000918
1.0	0.003316
0.002696	0.000951
0.389184	0.000517
0.010927	0.000313
0.001816	0.000396
0.003333	0.000184
0.005532	0.00285
0.025068	0.000512
0.022049	0.00085
0.013441	0.002145
0.100974	0.002367
0.01658	0.000659
0.00297	0.000207
0.028617	0.000651
0.018126	7.4e-05
0.210536	0.001077
0.060671	0.001135
0.072181	0.000268
1.0	0.000543
0.007019	0.000393
0.025812	0.000658
0.015657	0.001967
0.002777	0.000508
0.001035	0.001194
1.0	0.001406
0.002856	0.000508
0.0026	0.00052
0.37354	0.00073
0.009171	0.004519
1.0	0.000493
0.002879	0.001517
0.20798	0.000425
0.433467	0.000819
0.006334	0.000732
0.008387	0.000336
0.047035	0.000621
0.0027	0.000283
1.0	0.000217
0.020061	0.000319
0.469877	0.000472
0.003432	0.000121
0.137015	0.000889
0.001883	0.000508
0.113094	0.000716
0.00492	0.00069
0.00113	0.000556
0.002348	0.000485
0.025494	0.000657
0.120098	0.000515
0.001741	0.000748
0.002596	0.000297
0.033968	0.001193
0.009876	0.00117
0.006522	0.00041
0.005616	0.001394
0.003244	0.000978
0.001281	0.000171
0.006158	0.000319
1.0	0.000516
0.007546	0.001326
0.007965	0.000463
0.008945	0.000278
1.0	0.002016
0.011179	0.001222
0.005836	0.000303
1.0	0.000958
0.081471	0.000611
0.00563	0.001118
1.0	0.000343
0.025939	0.00094
1.0	0.00034
0.2374	0.000735
0.018179	0.000398
1.0	0.001117
0.01474	0.000544
0.020374	0.000495
0.155901	0.000486
0.004851	0.000337
0.032538	0.00081
0.062123	0.001214
0.002507	0.000377
0.011579	0.000549
0.69141	0.001118
0.002718	0.000314
0.01184	0.001295
0.110881	0.000854
0.037425	0.002129
0.027603	0.00214
0.001136	0.000391
0.013244	0.000658
0.012938	0.001284
0.008753	0.00041
0.000767	0.000405
0.003247	0.000365
0.018719	0.007037
0.000701	0.003295
0.047253	0.000443
0.049717	0.000835
0.041111	0.000942
0.292743	0.000103
0.002617	0.001309
0.003563	0.001003
0.012318	0.000375
0.008592	0.000315
0.210419	0.000351
0.015456	0.000231
0.001291	0.000198
0.006794	0.000741
0.006587	0.000289
0.204749	0.000634
0.011434	0.000624
0.036004	0.002158
0.026003	0.000381
1.0	0.000407
0.003955	0.000525
1.0	0.000756
0.004113	0.000499
0.002903	0.000233
0.00222	0.000472
1.0	0.001289
0.048982	0.002379
0.075887	0.000533
0.004443	0.000422
0.489737	0.002534
1.0	0.000257
0.004001	0.000281
0.005193	0.000531
0.060918	0.00014
0.007258	0.0011
1.0	0.000566
1.0	0.000604
0.016977	0.000513
0.172485	0.000261
0.44561	0.000925
0.217338	0.000313
0.015233	0.000454
0.002073	0.000465
0.004245	0.00032
0.029485	0.00234
0.001739	0.000477
0.000752	0.000301
0.130248	0.000657
0.01608	0.001293
0.002653	0.000244
0.389403	0.000186
0.001821	0.000308
0.003028	0.00014
0.116675	0.000605
0.012722	0.000326
0.003955	0.000261
0.006754	0.000677
0.282955	0.000773
0.001064	0.000645
1.0	0.000221
0.03476	0.001135
1.0	0.000301
0.022394	0.000385
0.516831	0.000287
0.108356	0.000999
0.002403	0.000517
0.010195	0.000318
1.0	0.000464
0.172797	0.000585
0.000695	0.000248
0.024964	0.001331
0.001648	0.000195
0.005536	0.000189
0.003639	0.001571
0.024611	0.001539
0.010455	0.000231
0.01046	0.000402
0.002868	0.000897
0.001333	0.001483
0.001604	0.000281
1.0	0.000591
0.00136	0.000305
