model	T5
0.15544	0.000353
0.003688	0.000244
1.0	0.00884
1.0	8.2e-05
1.0	0.001889
1.0	0.001442
1.0	0.00221
0.381101	0.001077
1.0	0.000744
0.001306	0.001228
1.0	0.002567
1.0	0.000207
1.0	0.021859
1.0	0.000129
0.132404	0.000284
1.0	0.001521
1.0	0.003711
0.001802	0.001521
1.0	0.000491
1.0	0.003254
1.0	0.005795
0.013558	0.000927
0.001517	0.000335
1.0	0.001331
0.005753	0.001423
0.059547	0.000237
0.082792	0.000934
1.0	0.001915
0.021399	0.000732
1.0	0.000265
0.760095	0.003179
0.021217	0.000159
0.085822	0.001708
0.313853	0.001152
1.0	0.00023
0.024246	0.000812
0.007074	0.000388
0.010926	0.000557
0.000303	0.00023
0.010651	0.000324
0.005693	0.003599
0.02128	0.000866
0.051528	0.001072
0.001917	0.000267
0.001331	0.00028
0.00593	0.002128
1.0	3.2e-05
0.010452	0.000416
0.724302	0.006583
1.0	0.000252
0.0215	0.00167
1.0	0.001117
1.0	0.001182
0.001015	0.000437
0.012109	0.000468
1.0	0.000907
0.016919	0.000164
0.003144	0.001324
0.085548	0.00038
0.037753	0.000706
0.334758	0.00074
0.191527	0.003348
0.017577	0.000231
1.0	0.000198
0.002291	0.00077
1.0	0.000495
0.166631	0.000412
0.465977	8.3e-05
1.0	0.007054
0.23862	0.001213
1.0	0.005688
1.0	0.000493
0.001687	0.002753
0.028909	0.000363
1.0	0.000224
0.009483	0.003355
0.048697	0.000177
1.0	0.000293
0.005293	0.000798
0.056819	0.001781
0.015291	0.013329
1.0	0.000972
0.108042	0.00024
1.0	0.000458
1.0	0.000334
0.019427	0.001055
0.002294	0.000586
0.011819	0.001322
0.007097	0.006569
0.028402	0.000959
1.0	0.005405
0.001486	0.000315
1.0	0.00029
1.0	0.000998
0.081991	0.027725
0.008748	0.000424
1.0	0.001694
1.0	0.001507
0.011067	0.000681
0.076564	0.000412
1.0	0.000868
0.344878	0.002402
0.001487	0.001195
0.070035	0.001688
0.01358	0.000228
0.001763	0.002558
0.040418	0.000956
0.372651	0.000313
1.0	0.000344
0.168893	0.002492
1.0	0.001296
0.002435	0.00155
0.07607	0.000809
1.0	0.000381
0.004887	0.000682
0.009643	0.000215
1.0	0.000664
1.0	0.000169
1.0	0.001007
1.0	0.000281
0.085636	0.000782
0.075982	0.000537
1.0	0.000513
0.106096	0.000518
0.064945	0.000244
0.025415	0.002481
0.010483	0.001495
0.01955	0.001941
0.186965	0.00022
0.000815	0.002727
0.061493	0.000748
1.0	0.000412
0.870009	0.000336
1.0	0.000216
0.007283	0.000564
1.0	6.6e-05
0.636984	0.00072
1.0	0.00505
0.143185	0.000433
0.118524	0.000196
0.244953	0.001238
1.0	0.000253
0.001844	0.001528
0.085667	0.00071
1.0	0.000244
1.0	0.001152
1.0	0.000273
0.160066	0.001267
0.004243	0.000195
1.0	0.001173
0.028389	0.000259
0.000935	0.000645
0.003458	0.000981
0.015984	0.00154
0.00613	0.000716
0.297096	0.006072
1.0	0.001657
0.004745	0.000709
1.0	0.000162
1.0	0.000581
1.0	0.0023
0.017626	0.00076
0.012015	0.000348
1.0	0.000629
0.000383	0.000392
0.832963	0.002529
0.028829	0.001291
1.0	0.000337
0.0147	0.000806
0.022357	0.000293
0.311615	0.000927
0.567814	0.000554
1.0	0.000172
1.0	0.000907
0.205491	7.8e-05
1.0	0.00462
0.61735	0.000508
0.005496	0.000561
0.008016	0.000379
0.007044	0.001604
0.337314	0.000781
1.0	0.000259
0.005284	0.00051
0.013641	0.00057
1.0	0.000508
0.016501	0.000169
0.026369	0.001641
0.080141	0.000248
1.0	0.000697
0.005677	0.000254
0.042474	0.000187
0.000998	0.000423
0.012527	8e-05
0.357066	0.00045
1.0	0.000281
0.004511	0.000471
1.0	0.027553
1.0	0.007232
1.0	0.001676
0.280846	0.001617
0.759635	0.000122
1.0	0.000475
0.042648	0.001813
0.105248	0.000458
0.13833	0.000231
1.0	0.00068
0.175194	0.002726
0.045868	0.000982
0.008827	0.00321
0.347371	0.000145
1.0	0.001674
1.0	0.000245
0.000608	0.000705
1.0	0.000329
0.024566	0.000301
0.006283	0.002304
1.0	0.001453
1.0	0.000671
0.227249	0.002338
1.0	0.000232
1.0	0.001494
0.001476	0.000177
0.082151	0.015708
1.0	0.001645
0.30155	0.00024
0.004302	0.001298
0.0167	0.003031
0.447772	0.000107
0.010951	0.000942
0.091217	0.003452
0.006565	0.00173
0.008801	0.000292
1.0	0.005382
0.007251	0.000195
0.000362	0.000492
1.0	0.000235
1.0	0.003539
1.0	0.007715
0.00262	0.000683
1.0	0.001196
1.0	0.000279
0.01038	0.019484
1.0	0.001375
1.0	0.03403
0.001842	0.000657
0.422579	0.003316
0.033347	0.002747
1.0	0.000212
1.0	0.000237
1.0	0.001051
0.005397	0.000181
1.0	0.00032
0.007184	0.001411
0.000888	0.001359
1.0	0.000289
0.005066	0.000213
0.091069	0.000378
0.404483	0.000205
1.0	0.000222
0.001605	0.010588
0.00316	0.000687
1.0	0.000345
0.003929	0.000285
0.021217	0.000584
1.0	0.002702
1.0	0.000266
0.018041	0.000152
0.259345	0.000203
0.007291	0.001221
0.012015	0.000214
1.0	0.074028
1.0	0.00362
0.040989	0.002298
0.002423	0.000384
0.486795	0.00038
0.507422	0.001288
0.389506	0.002366
0.001177	0.003728
0.022389	0.000504
0.036495	0.00026
0.072002	0.024434
0.003078	5.8e-05
1.0	0.00059
0.012015	0.004397
1.0	0.0058
0.062676	0.001039
1.0	0.000159
0.000708	0.000513
0.725533	0.000567
0.001773	0.000557
0.062362	0.000165
1.0	0.00031
0.165967	0.000289
0.003835	0.000597
0.014857	0.001579
0.003835	0.001475
0.000404	0.001984
0.011729	0.004789
0.004502	0.000159
0.005871	0.001941
0.049814	0.031003
0.177918	0.000268
0.001579	0.000255
0.067052	0.000567
1.0	0.000195
0.007673	0.001715
0.001095	0.00034
1.0	0.000749
0.428618	0.000211
0.143185	0.000114
1.0	0.000399
0.548533	0.010781
1.0	0.000429
1.0	0.000305
1.0	0.003101
0.116223	0.000652
1.0	0.001275
0.009332	0.000587
1.0	0.00175
0.003485	0.000175
0.402237	0.001309
0.043608	0.00054
0.001965	0.00051
1.0	0.003321
1.0	0.00025
0.023593	0.001312
0.207569	0.000115
1.0	0.001307
0.787091	0.00032
1.0	0.000973
0.002075	0.000272
0.032891	0.000322
0.642647	0.000363
0.018387	0.000422
1.0	0.000404
0.00599	0.00069
0.451849	0.000966
1.0	0.001697
0.018547	0.000365
0.215869	0.000731
0.00743	0.000207
0.004858	0.000513
1.0	0.000422
1.0	6.7e-05
1.0	0.000318
1.0	0.009379
1.0	0.00644
0.563568	0.000955
1.0	0.000247
1.0	0.000822
0.012794	0.000444
0.007638	7.6e-05
1.0	0.000577
0.00133	0.000337
0.23862	0.000284
0.004344	0.000352
1.0	0.000358
0.009682	0.00098
0.004782	0.002246
0.024923	0.000938
1.0	0.004012
0.002263	0.001413
1.0	0.000358
0.002263	0.000945
1.0	0.000754
0.000566	0.000323
1.0	0.000117
1.0	0.000266
0.269296	0.000128
1.0	0.005934
0.002202	0.000783
1.0	0.001393
0.023844	0.002931
0.005362	0.000497
1.0	0.000771
1.0	0.00047
0.048811	0.000652
1.0	0.000795
0.208154	0.000263
0.014535	0.000682
0.038321	0.001579
0.001002	0.001764
0.007886	0.002399
1.0	0.000689
0.002346	0.000577
1.0	0.000672
0.020577	0.000714
0.293067	0.002131
0.23862	0.000513
0.405655	0.000449
0.449803	0.000731
0.03693	0.000153
1.0	0.003598
0.012996	0.000881
0.087139	0.000266
1.0	0.000202
1.0	0.001816
0.002181	0.0015
0.071468	0.000367
1.0	0.000834
1.0	0.001929
0.050516	0.000527
0.006374	0.029237
0.027185	0.000177
1.0	0.000106
0.497974	0.003772
0.119344	0.000677
0.021217	0.046574
1.0	0.007395
0.012572	0.000952
0.00099	0.000887
0.244953	0.000203
1.0	0.000794
1.0	0.000517
1.0	0.001217
0.009335	0.003649
0.038986	0.000448
0.001995	0.000606
0.193251	0.000146
0.010355	0.000304
0.023574	0.026966
0.04613	0.000264
