model	T5
0.996623	0.009836
0.004344	0.001218
0.073755	0.038406
0.252481	0.002115
0.014043	0.000668
0.996623	0.037079
1.0	0.000673
0.998407	0.010447
0.178202	0.001114
1.0	0.013427
0.373994	0.009137
0.997242	0.006777
0.021378	0.078587
0.998049	0.005595
1.0	0.000643
0.997346	0.032145
1.0	0.002256
0.293909	0.002591
1.0	0.012431
0.997508	0.010399
0.022972	0.007114
0.999469	0.010163
0.998712	0.021334
0.998049	0.006161
0.059901	0.001396
0.02053	0.00287
1.0	0.002058
0.141534	0.016885
0.324875	0.006874
0.146491	0.014076
1.0	0.01615
0.089918	0.017809
0.99831	0.000635
0.760097	0.042152
0.021217	0.000793
0.161944	0.017404
0.160149	0.02203
0.998407	0.00174
0.09749	0.013646
0.084745	0.004327
0.087947	0.019841
0.002825	0.010175
0.009671	0.001683
0.027651	0.011819
0.105837	0.003426
0.116612	0.035976
0.010738	0.005538
0.010871	0.001017
0.030279	0.023866
1.0	0.000145
0.036742	0.003773
0.736777	0.038468
1.0	0.005537
0.0215	0.003937
1.0	0.001859
1.0	0.008501
0.007854	0.001387
0.026376	0.005988
1.0	0.003406
0.064492	0.000764
0.038238	0.066831
0.016719	0.001942
0.282242	0.002572
0.393817	0.00957
0.442955	0.021018
0.076236	0.001381
0.997371	0.00157
0.013611	0.001253
1.0	0.017157
0.389527	0.001924
0.573137	0.000511
1.0	0.055529
0.23862	0.013093
0.996623	0.020735
0.996623	0.007149
0.079777	0.00709
0.374049	0.001305
0.995583	0.001716
0.039383	0.001878
0.44082	0.000994
0.998088	0.00103
0.028872	0.060395
0.122757	0.00325
0.032953	0.005052
0.197375	0.013767
0.276152	0.000859
0.134153	0.00285
0.997242	0.00253
0.058344	0.027674
0.019694	0.01438
0.143895	0.030256
0.014308	0.017653
0.111915	0.013219
0.995227	0.021162
0.013856	0.007079
0.997242	0.009985
1.0	0.020824
0.124571	0.006509
0.058471	0.004325
0.996623	0.018479
0.996623	0.009517
