model	T5
0.156941	0.025664
0.145372	0.011044
0.269306	0.000991
0.060064	0.002105
0.12575	0.005431
0.832995	0.034035
0.091393	0.005246
0.112945	0.000917
0.048236	0.00045
1.0	0.113463
1.0	0.000292
0.129271	0.023575
0.614079	0.038437
0.077994	0.021204
0.262591	0.013673
0.072155	0.00108
0.5311	0.010375
0.235659	0.000829
0.357017	0.001344
0.131443	0.005588
0.553927	0.024509
0.239744	0.037818
0.089812	0.001498
0.091294	0.062685
0.145544	0.018105
0.146323	0.041061
0.071421	0.002236
0.046968	0.039966
0.123151	0.006022
0.053484	0.000831
0.344445	0.008738
0.104088	0.01536
0.045494	0.039433
0.220054	0.003892
0.069954	0.000655
0.137055	0.076551
0.083155	0.004109
0.227133	0.019157
0.044765	0.005257
0.286259	0.026512
0.998049	0.01777
0.118041	0.013021
0.060305	0.001899
0.063958	0.027589
0.101796	0.000673
0.046605	0.004682
0.146891	0.026279
0.13503	0.003423
0.999428	0.000801
0.361006	0.022645
0.822457	0.026298
0.498353	0.0788
0.066673	0.000392
0.997611	0.014156
0.999414	0.003377
0.102412	0.102412
0.037175	0.030858
0.065383	0.0022
0.096619	0.015694
0.545268	0.00656
0.312325	0.00157
0.238691	0.011877
0.109644	0.058136
0.425224	0.011019
0.088373	0.001418
0.145914	0.056142
0.742325	0.002455
0.037229	0.014876
0.063076	0.000742
0.064701	0.045048
0.053767	0.015541
0.161982	0.107891
0.163796	0.008782
0.997242	0.003555
0.103132	0.00158
0.168922	0.00082
0.998506	0.039796
0.147185	0.059836
0.999	0.035654
0.246598	0.000526
0.09212	0.000928
0.12865	0.009346
1.0	0.038613
0.120561	0.001213
0.084268	0.006189
0.528071	0.008565
0.070929	0.001174
0.209243	0.015011
0.100952	0.030775
0.316571	0.001275
0.188102	0.005076
0.627496	0.001016
0.266288	0.023794
0.056733	0.001447
0.179365	0.012787
0.130254	0.005676
0.068482	0.004962
0.107267	0.01115
0.104305	0.016297
0.08621	0.003104
0.093955	0.016363
0.084755	0.015288
0.026916	0.026955
0.064198	0.001631
0.111038	0.010522
0.072551	0.010645
0.038602	0.001479
0.223429	0.008558
0.056947	0.011723
0.391326	0.051326
0.244441	0.043351
0.209648	0.009991
0.387592	0.008022
0.062226	0.006814
0.428111	0.008759
0.996789	0.045829
0.998069	0.019587
1.0	0.000984
0.11574	0.010178
0.116279	0.018767
0.999503	0.021515
1.0	0.009569
0.144877	0.031757
1.0	0.010299
0.021161	0.006044
0.739821	0.00148
0.060102	0.009273
0.351613	0.010571
0.130985	0.073004
0.53616	0.008909
0.071261	0.000998
0.996623	0.014858
0.254621	0.002811
0.691114	0.001098
0.079499	0.011531
0.154529	0.041206
0.183554	0.006478
0.064084	0.049006
0.244278	0.014991
0.046605	0.001108
0.09156	0.005197
0.118626	0.015119
0.372486	0.002668
0.231122	0.041533
0.09716	0.002569
0.101085	0.001322
0.107013	0.001396
0.436065	0.005562
0.230161	0.003361
0.458421	0.007383
0.037123	0.000927
0.45642	0.001525
0.136507	0.003597
0.99831	0.009651
0.137757	0.00159
0.074006	0.005601
0.079396	0.000745
0.14931	0.008852
0.252257	0.029721
0.082254	0.03401
0.075185	0.036207
0.058848	0.011264
0.527079	0.005221
0.999313	0.000749
0.080301	0.015033
0.99862	0.032205
0.113445	0.009558
0.032333	0.003247
0.997111	0.002886
0.047499	0.00142
0.096919	0.000615
0.194304	0.004518
0.049423	0.004512
0.998049	0.026971
0.168381	0.001016
0.084065	0.000561
0.999024	0.004246
0.045456	0.000755
0.250313	0.001515
0.579266	0.004934
0.043396	0.00424
0.211575	0.005491
0.035152	0.009339
0.081276	0.046197
1.0	0.032785
0.080761	0.067284
0.66634	0.002151
0.156044	0.0034
0.044353	0.033744
0.143885	0.003037
0.116212	0.017608
0.408729	0.00299
0.274028	0.011694
