model	T5
0.095144	0.003749
0.99831	0.009581
0.002919	0.000516
0.042206	0.008381
0.198105	0.000903
0.007721	0.000407
0.99831	0.018606
1.0	0.000235
0.999203	0.005262
0.42214	0.001448
1.0	0.005447
0.377531	0.003181
0.99862	0.002275
0.005283	0.009823
0.999024	0.004515
1.0	0.000367
0.998672	0.027955
1.0	0.000543
0.198174	0.000902
1.0	0.004348
0.998753	0.006665
0.006433	0.003292
0.999734	0.002318
0.999356	0.008332
0.999024	0.006474
0.028834	0.001137
0.005625	0.001001
1.0	0.00169
0.028593	0.004981
0.139088	0.001276
0.112715	0.003625
1.0	0.005561
0.043866	0.003612
0.999155	0.00041
0.760096	0.011576
0.021217	0.000355
0.124129	0.007798
0.235103	0.005038
0.999203	0.000643
0.048618	0.003334
0.024895	0.001327
0.030998	0.003325
0.000926	0.001529
0.013138	0.000739
0.014325	0.007524
0.047494	0.002236
0.077522	0.006209
0.00465	0.001222
0.004044	0.000535
0.014645	0.007738
1.0	6.9e-05
0.019848	0.001262
0.734379	0.016454
1.0	0.001181
0.0215	0.0027
1.0	0.001568
1.0	0.00317
0.002824	0.000802
0.017871	0.001681
1.0	0.002605
0.033032	0.000354
0.010964	0.009408
0.071231	0.000867
0.103396	0.001356
0.363089	0.00277
0.29127	0.008388
0.036606	0.000565
0.998685	0.000558
0.006476	0.001074
1.0	0.00301
0.254769	0.000912
0.516787	0.000207
1.0	0.019791
0.23862	0.003985
0.99831	0.011567
0.99831	0.001878
0.0116	0.004571
0.103987	0.000741
0.997789	0.000634
0.019326	0.003892
0.146515	0.00042
0.999044	0.000551
0.012362	0.006944
0.083516	0.002406
0.022448	0.010467
0.444269	0.003674
0.172731	0.000455
0.366268	0.00115
0.99862	0.000919
0.033879	0.005407
0.006721	0.002902
0.041239	0.006325
0.012416	0.011802
0.060719	0.003572
0.997611	0.010967
0.004538	0.001493
0.99862	0.001717
1.0	0.004559
0.101062	0.019984
0.023651	0.001356
0.99831	0.005659
0.99831	0.003954
0.01531	0.001939
0.178033	0.001244
0.997931	0.00516
0.374152	0.004244
0.006627	0.003039
0.130559	0.00454
0.023812	0.00043
0.0048	0.009249
0.058647	0.002712
0.420578	0.000968
0.99831	0.00202
0.168893	0.003479
0.998049	0.007765
0.003337	0.006555
0.060569	0.001753
0.385793	0.001781
0.018887	0.002449
0.038607	0.000427
0.99931	0.002009
1.0	0.000341
1.0	0.001176
0.999696	0.002746
0.170298	0.00296
0.115816	0.001475
1.0	0.002386
0.161835	0.002526
0.10253	0.000881
0.040084	0.003738
0.02939	0.003326
0.045887	0.005316
0.200321	0.000245
0.002582	0.005354
0.126178	0.00279
0.835709	0.001575
0.869812	0.002068
1.0	0.000388
0.017583	0.000948
1.0	0.000196
0.263695	0.001817
0.99887	0.009425
0.177148	0.001245
0.118524	0.00039
0.341225	0.001438
0.99831	0.000579
0.008314	0.007345
0.197164	0.001797
1.0	0.000633
0.419077	0.001849
1.0	0.000476
0.235086	0.006668
0.016489	0.000685
0.999102	0.003957
0.039579	0.000404
0.005166	0.004262
0.015205	0.001618
0.020784	0.002495
0.019596	0.00415
0.312186	0.008526
1.0	0.002689
0.012523	0.000898
0.99931	0.000654
1.0	0.000927
0.997611	0.006053
0.041373	0.001431
0.012015	0.000766
0.35507	0.004178
0.001101	0.001499
0.555889	0.007135
0.039911	0.005231
1.0	0.001586
0.032353	0.00326
0.049417	0.001104
0.299108	0.002789
0.598231	0.003641
1.0	0.000435
1.0	0.002605
0.317178	0.000397
1.0	0.009275
0.61735	0.002412
0.017593	0.003175
0.014848	0.001049
0.01498	0.002705
0.419724	0.004936
0.997611	0.00058
0.024576	0.000726
0.025526	0.001035
0.214159	0.000987
0.032724	0.000326
0.042095	0.005358
0.118805	0.000743
0.998805	0.001578
0.014304	0.000697
0.073535	0.000456
0.002996	0.002296
0.022313	0.000265
0.238452	0.002829
1.0	0.000661
0.016414	0.00186
0.997611	0.032065
0.998672	0.007804
0.999067	0.002177
0.204333	0.004529
0.437637	0.000254
1.0	0.000966
0.051272	0.010403
0.124612	0.001964
0.226545	0.000507
0.616453	0.005252
0.175194	0.005675
0.108	0.001497
0.008827	0.007402
0.402401	0.000466
0.99862	0.00346
1.0	0.000825
0.001417	0.002139
0.438589	0.000936
0.058103	0.000579
0.023884	0.003977
0.999034	0.007239
1.0	0.002496
0.278548	0.002682
1.0	0.000791
0.99831	0.004311
0.005156	0.001196
0.101251	0.011887
1.0	0.003624
0.374353	0.000996
0.010855	0.00236
0.03418	0.008965
0.348949	0.000276
0.016076	0.003995
0.091217	0.00445
0.014852	0.002829
0.01434	0.000791
0.999565	0.013653
0.022854	0.001022
0.001399	0.002676
1.0	0.001808
1.0	0.006462
0.99831	0.016676
0.011847	0.002289
1.0	0.002987
1.0	0.000884
0.033913	0.022402
0.999367	0.00595
1.0	0.045511
0.005589	0.002356
0.42235	0.005569
0.071993	0.004071
0.99876	0.000453
1.0	0.001056
0.999315	0.00383
0.021145	0.000856
0.999402	0.000452
0.028402	0.005392
0.003203	0.001823
1.0	0.000772
0.009595	0.000387
0.147594	0.001899
0.404484	0.001108
1.0	0.000597
0.006615	0.02116
0.009727	0.003052
0.99831	0.000605
0.017113	0.001007
0.021217	0.001817
0.537152	0.004681
0.99831	0.001629
0.028867	0.000645
0.34835	0.000367
0.030131	0.006087
0.012015	0.000689
0.99831	0.106813
1.0	0.007485
0.045011	0.00588
0.007503	0.000838
0.566015	0.001107
0.331625	0.00327
0.393485	0.003062
0.004105	0.004211
0.046882	0.00216
0.056951	0.000908
0.079153	0.017488
0.011373	0.000108
0.99862	0.002645
0.012015	0.007865
0.99862	0.018396
0.090129	0.001889
0.999718	0.000757
0.002694	0.002386
0.733061	0.003529
0.004676	0.002275
0.102149	0.000325
1.0	0.000704
0.147963	0.001451
0.016531	0.005146
0.027149	0.002779
0.016531	0.006738
0.000895	0.002667
0.038555	0.015363
0.014374	0.00052
0.014866	0.004793
0.070351	0.02725
0.135837	0.000449
0.007303	0.000664
0.107448	0.001425
1.0	0.000703
0.037119	0.004223
0.004437	0.001871
0.999756	0.003152
0.212261	0.000357
0.177148	0.000407
1.0	0.00103
0.3259	0.022237
1.0	0.001786
1.0	0.001388
0.99931	0.00591
0.116222	0.002415
1.0	0.002417
0.036735	0.002381
0.999024	0.002657
0.012041	0.000332
0.480562	0.002079
0.05777	0.000967
0.01169	0.000726
0.99862	0.005314
0.99862	0.000539
0.028462	0.005525
0.297449	0.000204
1.0	0.007631
0.810683	0.000628
1.0	0.001451
0.006862	0.001122
0.110085	0.000992
0.675114	0.000474
0.054202	0.001185
0.99742	0.002065
0.017513	0.002049
0.505393	0.002199
1.0	0.005386
0.018547	0.001151
0.321377	0.002207
0.010865	0.000943
0.012505	0.002386
0.999084	0.002308
0.998049	0.000138
0.998672	0.001241
0.999024	0.014268
0.999024	0.019277
0.574863	0.001475
0.49804	0.000485
1.0	0.003057
0.033221	0.002198
0.015007	0.000256
0.385564	0.00384
0.003834	0.000539
0.23862	0.000562
0.017896	0.002615
0.99862	0.000514
0.027483	0.002932
0.008425	0.005171
0.048068	0.007126
0.99831	0.004652
0.007081	0.006586
0.404074	0.002016
0.007081	0.00526
1.0	0.003655
0.002332	0.001166
1.0	0.000272
1.0	0.000951
0.328498	0.000252
0.999203	0.005941
0.008322	0.004199
0.99831	0.004826
0.060271	0.011224
0.006644	0.001803
0.999655	0.004959
0.99831	0.002275
0.068675	0.001075
1.0	0.003018
0.291688	0.000472
0.03333	0.001751
0.045186	0.004441
0.002006	0.003252
0.022773	0.004553
1.0	0.001613
